State,Region,Food insecurity,Median household income,Children eligible for free lunch
AL,South,0.136,51441,0.361
AL,South,0.135,51868,0.383
AL,South,0.131,48867,0.368
AL,South,0.135,47539,0.344
AL,South,0.23,30287,0.664
AL,South,0.227,30981,0.697
AL,South,0.158,37392,0.535
AL,South,0.154,39781,0.546
AL,South,0.121,44225,0.439
AL,South,0.118,44392,0.442
AL,South,0.27,25854,0.901
AL,South,0.241,25937,0.86
AL,South,0.227,30605,0.679
AL,South,0.221,31041,0.694
AL,South,0.175,39212,0.51
AL,South,0.172,37898,0.53
AL,South,0.21,32320,0.651
AL,South,0.205,33883,0.661
AL,South,0.15,37868,0.508
AL,South,0.148,37478,0.534
AL,South,0.145,39621,0.523
AL,South,0.142,41348,0.533
AL,South,0.199,33390,0.683
AL,South,0.185,33581,0.711
AL,South,0.244,34606,0.601
AL,South,0.223,34593,0.606
AL,South,0.176,34579,0.524
AL,South,0.169,33344,0.555
AL,South,0.134,38235,0.486
AL,South,0.138,40407,0.502
AL,South,0.151,45631,0.363
AL,South,0.15,44666,0.385
AL,South,0.158,39771,0.444
AL,South,0.156,40032,0.466
AL,South,0.244,27110,0.813
AL,South,0.228,27196,0.813
AL,South,0.178,32960,0.65
AL,South,0.169,35175,0.678
AL,South,0.163,34017,0.47
AL,South,0.16,35187,0.484
AL,South,0.168,33648,0.504
AL,South,0.167,34105,0.522
AL,South,0.134,37938,0.448
AL,South,0.137,40142,0.42
AL,South,0.166,40125,0.519
AL,South,0.167,41805,0.546
AL,South,0.315,27400,0.77
AL,South,0.289,27524,0.791
AL,South,0.153,37644,0.587
AL,South,0.141,36713,0.601
AL,South,0.144,52324,0.41
AL,South,0.141,51650,0.426
AL,South,0.201,33588,0.617
AL,South,0.196,33455,0.644
AL,South,0.16,35737,0.487
AL,South,0.158,38587,0.521
AL,South,0.167,35720,0.483
AL,South,0.158,35661,0.498
AL,South,0.155,33173,0.57
AL,South,0.149,33332,0.576
AL,South,0.153,33347,0.541
AL,South,0.155,35378,0.553
AL,South,0.3,24592,0.873
AL,South,0.275,25864,0.878
AL,South,0.243,31025,0.676
AL,South,0.229,33597,0.612
AL,South,0.156,37108,0.534
AL,South,0.158,41590,0.544
AL,South,0.17,40609,0.536
AL,South,0.171,39636,0.561
AL,South,0.139,39618,0.5
AL,South,0.138,37204,0.489
AL,South,0.191,43967,0.425
AL,South,0.183,45024,0.457
AL,South,0.164,33940,0.501
AL,South,0.162,36475,0.481
AL,South,0.15,41536,0.416
AL,South,0.151,43586,0.446
AL,South,0.148,38524,0.503
AL,South,0.147,40713,0.528
AL,South,0.172,43182,0.398
AL,South,0.174,44647,0.391
AL,South,0.134,49616,0.392
AL,South,0.131,50148,0.409
AL,South,0.292,28544,0.908
AL,South,0.258,29734,0.935
AL,South,0.282,27709,0.981
AL,South,0.26,29228,0.915
AL,South,0.15,57072,0.321
AL,South,0.147,58258,0.31
AL,South,0.226,31888,0.62
AL,South,0.214,33749,0.625
AL,South,0.164,32237,0.476
AL,South,0.16,34162,0.478
AL,South,0.144,36960,0.486
AL,South,0.14,38399,0.484
AL,South,0.196,39546,0.629
AL,South,0.188,42278,0.645
AL,South,0.246,36221,0.609
AL,South,0.221,32696,0.637
AL,South,0.218,41430,0.645
AL,South,0.21,44013,0.672
AL,South,0.146,44766,0.372
AL,South,0.143,44079,0.454
AL,South,0.293,25215,0.969
AL,South,0.265,25461,0.977
AL,South,0.223,31433,0.681
AL,South,0.212,32314,0.689
AL,South,0.214,32411,0.625
AL,South,0.212,35944,0.612
AL,South,0.19,35024,0.579
AL,South,0.18,35121,0.534
